ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	SC	MI	MAG	NCCP	NCCS	NCTP	NCT	S    RCC	RCT	CID
920165340	40.861888	28.276085	8.339	1722.9	-1229.6	1789.8	25	22.2	58.1	2019	9	20	16	53	40.15	2.2	0	0	25	42	-9	0.054	1
447612	40.878464	28.224188	5.169	-2651.8	611.1	-1380.2	19.1	17	47.2	2019	9	22	3	9	37.36	2.5	0	0	245	206	-9	0.055	1
447624	40.878237	28.222313	5.33	-2809.9	585.8	-1220	25.3	19.7	54	2019	9	22	8	38	57.39	2.3	0	0	239	195	-9	0.057	1
922084242	40.880602	28.227867	4.183	-2341.7	848.4	-2366.9	18.9	14.5	45.2	2019	9	22	8	42	43.15	2.4	0	0	137	163	-9	0.06	1
447636	40.877574	28.225532	4.384	-2538.6	512.2	-2165.3	22.4	16.9	43.7	2019	9	22	12	7	10.29	1.9	0	0	115	106	-9	0.048	1
922153045	40.877697	28.218562	3.189	-3126.1	525.8	-3361	15.8	21.6	30.2	2019	9	22	15	30	46.22	2	0	0	65	51	-9	0.052	1
447734	40.879338	28.225042	6.279	-2579.9	708	-271	23.9	17.9	39.3	2019	9	24	7	30	50.07	3.1	0	0	263	158	-9	0.058	1
447733	40.877244	28.22151	1.676	-2877.6	475.5	-4873.3	19.2	18.9	21.6	2019	9	24	8	0	22.18	4.7	0	0	61	37	-9	0.051	1
447735	40.875403	28.232809	6.73	-1925.2	271.2	180.9	19	16.8	31.7	2019	9	24	8	12	18.92	1.7	0	0	140	190	-9	0.054	1
447736	40.889171	28.238375	1.875	-1455.8	1799.9	-4674.4	17.8	21.8	37.4	2019	9	24	8	17	17.16	1.9	0	0	54	35	-9	0.06	1
447737	40.899703	28.240402	3.695	-1284.9	2969.4	-2855	21.5	25.6	42.2	2019	9	24	8	19	35.77	1.8	0	0	8	4	-9	0.054	1
447738	40.887331	28.253814	2.276	-154.6	1595.6	-4273.1	25.8	34.7	40.2	2019	9	24	8	22	45.68	1.5	0	0	4	2	-9	0.054	1
447739	40.878061	28.223505	6.13	-2709.4	566.3	-419.2	21	15.5	50.9	2019	9	24	8	27	6.61	2.4	0	0	339	273	-9	0.058	1
924083251	40.875857	28.238759	8.605	-1423.6	321.5	2055.8	19.1	18.9	41.7	2019	9	24	8	32	52.12	2	0	0	41	38	-9	0.056	1
447743	40.874731	28.227213	6.796	-2397	196.5	246.2	16.4	15.9	31.8	2019	9	24	8	57	22.95	3.4	0	0	269	179	-9	0.062	1
447745	40.873126	28.222711	12.057	-2776.4	18.3	5507.5	37.3	21.6	124.7	2019	9	24	9	0	57.56	2	0	0	5	6	-9	0.044	1
447747	40.885281	28.222173	1.103	-2821.5	1368	-5446.6	19.3	21.4	46	2019	9	24	9	4	8.99	1.9	0	0	39	15	-9	0.056	1
447746	40.880997	28.229663	7.214	-2190.3	892.3	664.7	16.5	13.5	31.1	2019	9	24	9	16	45.97	2.1	0	0	173	132	-9	0.055	1
447749	40.872088	28.241737	5.385	-1172.6	-96.9	-1164.9	14	15.8	33.1	2019	9	24	9	59	17.9	2	0	0	85	88	-9	0.05	1
447748	40.881257	28.220285	6.464	-2980.8	921.2	-85.3	11.6	13.8	29.8	2019	9	24	10	11	8.04	2.7	0	0	241	265	-9	0.06	1
447751	40.870491	28.244642	3.923	-927.8	-274.3	-2626.3	17.6	17.7	20.2	2019	9	24	10	23	9.11	2.9	0	0	137	80	-9	0.058	1
447752	40.869703	28.268418	3.547	1076.5	-361.8	-3002.7	18.1	24.7	36.5	2019	9	24	10	43	18.54	1.7	0	0	3	27	-9	0.05	1
447753	40.869433	28.245029	4.945	-895.1	-391.8	-1604.6	14.8	13	34.7	2019	9	24	10	56	53.03	2.3	0	0	181	151	-9	0.056	1
447755	40.883441	28.220761	9.819	-2940.6	1163.7	3268.9	20.4	21.4	49.8	2019	9	24	11	0	36.31	2.2	0	0	109	77	-9	0.058	1
924111915	40.874498	28.244239	7.815	-961.7	170.6	1265.1	18.4	17.9	36.2	2019	9	24	11	19	16.07	3.4	0	0	172	86	-9	0.053	1
924112246	40.88255	28.228411	8.092	-2295.8	1064.8	1542.3	19.7	15.4	61	2019	9	24	11	22	47.69	2	0	0	97	126	-9	0.053	1
447756	40.879145	28.217856	6.482	-3185.6	686.7	-67.8	13.4	13.4	24.4	2019	9	24	11	32	34.95	2.5	0	0	226	211	-9	0.056	1
924113257	40.867442	28.248734	6.376	-582.9	-612.9	-173.7	21.6	29.5	63.6	2019	9	24	11	32	57.67	2.2	0	0	45	55	-9	0.057	1
447757	40.869312	28.228965	3.605	-2249.3	-405.2	-2944.6	26.7	20.6	31.9	2019	9	24	11	56	33.13	2	0	0	39	43	-9	0.061	1
447761	40.883855	28.233626	2.44	-1856.2	1209.7	-4109.1	17.1	15.7	35.3	2019	9	24	12	42	40.18	2	0	0	70	78	-9	0.055	1
447762	40.879373	28.23178	9.552	-2011.9	712	3002.5	50.9	33.2	94.9	2019	9	24	13	9	52.17	2.2	0	0	8	5	-9	0.044	1
447767	40.878436	28.218299	6.428	-3148.3	607.9	-121.7	15.4	17	36.6	2019	9	24	13	53	17.64	2.6	0	0	358	261	-9	0.056	1
447774	40.878422	28.230849	2.132	-2090.4	606.4	-4417.8	24.2	20.3	24.3	2019	9	24	15	5	11.2	2.4	0	0	100	80	-9	0.052	1
